haram_ingredient,aliases,halal_alternative,conversion_ratio,flavor_role,cuisine,severity,notes,quran_reference,hadith_reference
pork,"pork, pork belly, pancetta",chicken thigh,1:1,fat & protein,"asian,western",high,Chicken thigh mimics pork fat better than breast,Surah Al-Baqarah 2:173,Sahih Bukhari 7:67:400
bacon,"smoked pork, rashers",smoked turkey bacon,1:1,smoke & salt,western,high,Add a dash of oil if turkey is lean,Surah Al-Baqarah 2:173,Sahih Muslim 10:3893
ham,"cured pork, prosciutto",halal beef pastrami,1:1,cured umami,universal,high,Beef pastrami preserves cured flavor,Surah Al-Baqarah 2:173,Sahih Bukhari 7:67:400
pork sausage,"breakfast sausage, italian sausage",chicken sausage,1:1,spiced fat,"western,italian,french",high,Choose seasoned chicken sausage,Surah Al-Baqarah 2:173,Sahih Muslim 10:3893
gelatin,"pork gelatin, collagen",agar-agar,1:0.5,texture/binding,universal,medium,Agar is stronger than gelatin,Surah Al-Baqarah 2:173,Sahih Bukhari 7:67:400
lard,"pork fat, rendered pork",beef tallow,1:1,fat & mouthfeel,western,high,Neutral replacement for frying,Surah Al-Baqarah 2:173,Sahih Muslim 10:3893
wine,"red wine, white wine, cooking wine",grape juice + vinegar,1:0.75,acidity & sweetness,"western,italian,french",high,Use 3 parts juice + 1 part vinegar,Surah Al-Ma'idah 5:90,Sahih Bukhari 7:69:494
beer,"ale, lager",malt vinegar + water,1:0.5,bitterness,western,high,Reduces bitterness without alcohol,Surah Al-Ma'idah 5:90,Sahih Muslim 10:3893
mirin,sweet rice wine,sugar + rice vinegar,1:0.5,sweetness,"asian,japanese",high,1 tsp sugar + 1 tsp vinegar,Surah Al-Ma'idah 5:90,Sahih Muslim 10:3893
beef,"steak, ground beef",halal-certified beef,1:1,protein,universal,low,Must be halal-certified,Surah Al-Baqarah 2:172,Sahih Bukhari 7:67:400
pâté,"pork pâté,liver mousse",halal chicken liver pâté,1:1,umami richness,western,high,Use halal-certified liver only,Surah Al-Baqarah 2:173,Sahih Bukhari 7:67:400
non-halal sausage,"italian sausage,breakfast sausage",halal chicken sausage,1:1,spiced fat,western,high,Match seasoning profile,Surah Al-Baqarah 2:173,Sahih Muslim 10:3893
non-halal pepperoni,"pepperoni,pork salami",halal beef pepperoni,1:1,spicy umami,western,high,Halal beef preserves spice and chew,Surah Al-Baqarah 2:173,Sahih Bukhari 7:67:400
liver (non-halal),"pork liver,calf liver",halal chicken liver,1:1,deep umami,universal,high,Chicken liver substitutes well,Surah Al-Baqarah 2:173,Sahih Muslim 10:3893
lard pastry,"lard crust,shortcrust pastry",butter or halal shortening,1:1,flaky fat,western,high,Butter gives similar flake,Surah Al-Baqarah 2:173,Sahih Bukhari 7:67:400
wine vinegar (non-halal),"wine vinegar,red wine vinegar",apple cider vinegar,1:1,acidity,universal,medium,No alcohol involvement,Surah Al-Ma'idah 5:90,Sahih Muslim 10:3883
rum extract,"rum essence,rum flavor",vanilla extract,1:1,warm sweetness,western,high,Alcohol-free flavoring,Surah Al-Ma'idah 5:90,Sahih Bukhari 7:69:494
bourbon glaze,"bourbon sauce,whiskey glaze",brown sugar + apple juice,1:1,sweet depth,western,high,Simulates caramel notes,Surah Al-Ma'idah 5:90,Sahih Muslim 10:3883
non-halal marshmallows,"marshmallows,gelatin candy",halal marshmallows,1:1,texture/sweetness,universal,medium,Must be halal-certified gelatin,Surah Al-Baqarah 2:173,Sahih Bukhari 7:67:400
